date,state,total
15/10/2023,Melaka,59
16/10/2023,Melaka,22
17/10/2023,Melaka,34
18/10/2023,Melaka,33
19/10/2023,Melaka,14
20/10/2023,Melaka,41
21/10/2023,Melaka,117
22/10/2023,Melaka,24
23/10/2023,Melaka,18
24/10/2023,Melaka,13
25/10/2023,Melaka,15
26/10/2023,Melaka,37
27/10/2023,Melaka,34
28/10/2023,Melaka,51
29/10/2023,Melaka,88
30/10/2023,Melaka,44
31/10/2023,Melaka,42
1/11/2023,Melaka,27
2/11/2023,Melaka,13
3/11/2023,Melaka,45
4/11/2023,Melaka,33
5/11/2023,Melaka,45
6/11/2023,Melaka,33
7/11/2023,Melaka,42
8/11/2023,Melaka,103
9/11/2023,Melaka,71
10/11/2023,Melaka,23
11/11/2023,Melaka,24
12/11/2023,Melaka,5
13/11/2023,Melaka,6
14/11/2023,Melaka,14
15/11/2023,Melaka,19
16/11/2023,Melaka,26
17/11/2023,Melaka,34
18/11/2023,Melaka,120
19/11/2023,Melaka,36
20/11/2023,Melaka,26
21/11/2023,Melaka,16
22/11/2023,Melaka,33
23/11/2023,Melaka,41
24/11/2023,Melaka,28
25/11/2023,Melaka,82
26/11/2023,Melaka,35
27/11/2023,Melaka,24
28/11/2023,Melaka,34
29/11/2023,Melaka,36
30/11/2023,Melaka,27
1/12/2023,Melaka,43
2/12/2023,Melaka,18
3/12/2023,Melaka,29
4/12/2023,Melaka,18
5/12/2023,Melaka,37
6/12/2023,Melaka,24
7/12/2023,Melaka,17
8/12/2023,Melaka,36
9/12/2023,Melaka,14
10/12/2023,Melaka,8
11/12/2023,Melaka,18
12/12/2023,Melaka,28
13/12/2023,Melaka,14
14/12/2023,Melaka,48
15/12/2023,Melaka,59
16/12/2023,Melaka,25
17/12/2023,Melaka,3
18/12/2023,Melaka,26
19/12/2023,Melaka,59
20/12/2023,Melaka,41
21/12/2023,Melaka,50
22/12/2023,Melaka,38
23/12/2023,Melaka,56
24/12/2023,Melaka,17
25/12/2023,Melaka,10
26/12/2023,Melaka,41
27/12/2023,Melaka,26
28/12/2023,Melaka,37
29/12/2023,Melaka,39
30/12/2023,Melaka,12
31/12/2023,Melaka,17
1/1/2024,Melaka,7
2/1/2024,Melaka,21
3/1/2024,Melaka,33
4/1/2024,Melaka,28
5/1/2024,Melaka,52
6/1/2024,Melaka,8
7/1/2024,Melaka,3
8/1/2024,Melaka,27
9/1/2024,Melaka,33
10/1/2024,Melaka,93
11/1/2024,Melaka,14
12/1/2024,Melaka,47
13/1/2024,Melaka,6
14/1/2024,Melaka,3
15/1/2024,Melaka,21
16/1/2024,Melaka,32
17/1/2024,Melaka,26
18/1/2024,Melaka,29
19/1/2024,Melaka,63
20/1/2024,Melaka,5
21/1/2024,Melaka,5
22/1/2024,Melaka,22
23/1/2024,Melaka,46
24/1/2024,Melaka,32
25/1/2024,Melaka,25
26/1/2024,Melaka,65
27/1/2024,Melaka,63
28/1/2024,Melaka,24
29/1/2024,Melaka,21
30/1/2024,Melaka,157
31/1/2024,Melaka,33
1/2/2024,Melaka,25
2/2/2024,Melaka,37
3/2/2024,Melaka,36
4/2/2024,Melaka,3
5/2/2024,Melaka,19
6/2/2024,Melaka,34
7/2/2024,Melaka,15
8/2/2024,Melaka,35
9/2/2024,Melaka,28
10/2/2024,Melaka,1
11/2/2024,Melaka,2
12/2/2024,Melaka,13
13/2/2024,Melaka,23
14/2/2024,Melaka,27
15/2/2024,Melaka,17
16/2/2024,Melaka,42
17/2/2024,Melaka,3
18/2/2024,Melaka,35
19/2/2024,Melaka,14
20/2/2024,Melaka,1
21/2/2024,Melaka,37
22/2/2024,Melaka,42
23/2/2024,Melaka,37
24/2/2024,Melaka,31
25/2/2024,Melaka,1
26/2/2024,Melaka,12
27/2/2024,Melaka,21
28/2/2024,Melaka,37
29/2/2024,Melaka,17
1/3/2024,Melaka,44
2/3/2024,Melaka,66
3/3/2024,Melaka,1
4/3/2024,Melaka,10
5/3/2024,Melaka,33
6/3/2024,Melaka,33
7/3/2024,Melaka,29
8/3/2024,Melaka,34
9/3/2024,Melaka,1
10/3/2024,Melaka,4
11/3/2024,Melaka,22
12/3/2024,Melaka,6
13/3/2024,Melaka,12
14/3/2024,Melaka,21
15/3/2024,Melaka,24
16/3/2024,Melaka,2
17/3/2024,Melaka,0
18/3/2024,Melaka,22
19/3/2024,Melaka,23
20/3/2024,Melaka,21
21/3/2024,Melaka,52
22/3/2024,Melaka,33
23/3/2024,Melaka,0
24/3/2024,Melaka,2
25/3/2024,Melaka,13
26/3/2024,Melaka,24
27/3/2024,Melaka,11
28/3/2024,Melaka,18
29/3/2024,Melaka,17
30/3/2024,Melaka,12
31/3/2024,Melaka,4
1/4/2024,Melaka,9
2/4/2024,Melaka,27
3/4/2024,Melaka,18
4/4/2024,Melaka,14
5/4/2024,Melaka,19
6/4/2024,Melaka,4
7/4/2024,Melaka,4
8/4/2024,Melaka,6
9/4/2024,Melaka,3
10/4/2024,Melaka,0
11/4/2024,Melaka,2
12/4/2024,Melaka,6
13/4/2024,Melaka,5
14/4/2024,Melaka,2
15/4/2024,Melaka,10
16/4/2024,Melaka,26
17/4/2024,Melaka,18
18/4/2024,Melaka,44
19/4/2024,Melaka,30
20/4/2024,Melaka,9
21/4/2024,Melaka,5
22/4/2024,Melaka,16
23/4/2024,Melaka,21
24/4/2024,Melaka,10
25/4/2024,Melaka,20
26/4/2024,Melaka,18
27/4/2024,Melaka,4
28/4/2024,Melaka,37
29/4/2024,Melaka,15
30/4/2024,Melaka,42
1/5/2024,Melaka,1
2/5/2024,Melaka,15
3/5/2024,Melaka,54
4/5/2024,Melaka,6
5/5/2024,Melaka,1
6/5/2024,Melaka,14
7/5/2024,Melaka,34
8/5/2024,Melaka,18
9/5/2024,Melaka,10
10/5/2024,Melaka,34
11/5/2024,Melaka,8
12/5/2024,Melaka,2
13/5/2024,Melaka,12
14/5/2024,Melaka,9
15/5/2024,Melaka,21
16/5/2024,Melaka,20
17/5/2024,Melaka,23
18/5/2024,Melaka,10
19/5/2024,Melaka,18
20/5/2024,Melaka,14
21/5/2024,Melaka,13
22/5/2024,Melaka,6
23/5/2024,Melaka,9
24/5/2024,Melaka,19
25/5/2024,Melaka,7
26/5/2024,Melaka,37
27/5/2024,Melaka,13
28/5/2024,Melaka,19
29/5/2024,Melaka,25
30/5/2024,Melaka,34
31/5/2024,Melaka,37
1/6/2024,Melaka,7
2/6/2024,Melaka,2
3/6/2024,Melaka,5
4/6/2024,Melaka,18
5/6/2024,Melaka,26
6/6/2024,Melaka,14
7/6/2024,Melaka,19
8/6/2024,Melaka,49
9/6/2024,Melaka,0
10/6/2024,Melaka,74
11/6/2024,Melaka,41
12/6/2024,Melaka,25
13/6/2024,Melaka,8
14/6/2024,Melaka,21
15/6/2024,Melaka,12
16/6/2024,Melaka,2
17/6/2024,Melaka,0
18/6/2024,Melaka,10
19/6/2024,Melaka,9
20/6/2024,Melaka,28
21/6/2024,Melaka,30
22/6/2024,Melaka,4
23/6/2024,Melaka,2
24/6/2024,Melaka,11
25/6/2024,Melaka,19
26/6/2024,Melaka,11
27/6/2024,Melaka,20
28/6/2024,Melaka,14
29/6/2024,Melaka,53
30/6/2024,Melaka,18
1/7/2024,Melaka,7
2/7/2024,Melaka,25
3/7/2024,Melaka,28
4/7/2024,Melaka,15
5/7/2024,Melaka,13
6/7/2024,Melaka,38
7/7/2024,Melaka,2
8/7/2024,Melaka,2
9/7/2024,Melaka,25
10/7/2024,Melaka,19
11/7/2024,Melaka,16
12/7/2024,Melaka,35
13/7/2024,Melaka,45
14/7/2024,Melaka,28
15/7/2024,Melaka,26
16/7/2024,Melaka,104
17/7/2024,Melaka,74
18/7/2024,Melaka,31
19/7/2024,Melaka,44
20/7/2024,Melaka,6
21/7/2024,Melaka,5
22/7/2024,Melaka,41
23/7/2024,Melaka,29
24/7/2024,Melaka,32
25/7/2024,Melaka,52
26/7/2024,Melaka,32
27/7/2024,Melaka,16
28/7/2024,Melaka,7
29/7/2024,Melaka,12
30/7/2024,Melaka,34
31/7/2024,Melaka,17
1/8/2024,Melaka,16
2/8/2024,Melaka,22
3/8/2024,Melaka,39
4/8/2024,Melaka,3
5/8/2024,Melaka,15
6/8/2024,Melaka,32
7/8/2024,Melaka,15
8/8/2024,Melaka,46
9/8/2024,Melaka,42
10/8/2024,Melaka,21
11/8/2024,Melaka,1
12/8/2024,Melaka,16
13/8/2024,Melaka,32
14/8/2024,Melaka,16
15/8/2024,Melaka,37
16/8/2024,Melaka,28
17/8/2024,Melaka,29
18/8/2024,Melaka,27
19/8/2024,Melaka,86
20/8/2024,Melaka,45
21/8/2024,Melaka,29
22/8/2024,Melaka,39
23/8/2024,Melaka,19
24/8/2024,Melaka,22
25/8/2024,Melaka,9
26/8/2024,Melaka,4
27/8/2024,Melaka,35
28/8/2024,Melaka,10
29/8/2024,Melaka,17
30/8/2024,Melaka,59
31/8/2024,Melaka,34
1/9/2024,Melaka,4
2/9/2024,Melaka,27
3/9/2024,Melaka,13
4/9/2024,Melaka,14
5/9/2024,Melaka,29
6/9/2024,Melaka,22
7/9/2024,Melaka,19
8/9/2024,Melaka,70
9/9/2024,Melaka,8
10/9/2024,Melaka,15
11/9/2024,Melaka,29
12/9/2024,Melaka,16
13/9/2024,Melaka,21
14/9/2024,Melaka,18
15/9/2024,Melaka,62
16/9/2024,Melaka,3
17/9/2024,Melaka,21
18/9/2024,Melaka,19
19/9/2024,Melaka,49
20/9/2024,Melaka,30
21/9/2024,Melaka,4
22/9/2024,Melaka,2
23/9/2024,Melaka,13
24/9/2024,Melaka,11
25/9/2024,Melaka,8
26/9/2024,Melaka,19
27/9/2024,Melaka,25
28/9/2024,Melaka,31
29/9/2024,Melaka,9
30/9/2024,Melaka,15
1/10/2024,Melaka,18
2/10/2024,Melaka,25
3/10/2024,Melaka,53
4/10/2024,Melaka,63
5/10/2024,Melaka,42
6/10/2024,Melaka,3
7/10/2024,Melaka,23
8/10/2024,Melaka,19
9/10/2024,Melaka,82
10/10/2024,Melaka,36
11/10/2024,Melaka,35
12/10/2024,Melaka,8
13/10/2024,Melaka,1
14/10/2024,Melaka,20
15/10/2024,Melaka,12
16/10/2024,Melaka,30
17/10/2024,Melaka,53
18/10/2024,Melaka,29
19/10/2024,Melaka,27
20/10/2024,Melaka,0
21/10/2024,Melaka,11
22/10/2024,Melaka,46
23/10/2024,Melaka,58
24/10/2024,Melaka,27
25/10/2024,Melaka,16
26/10/2024,Melaka,9
27/10/2024,Melaka,11
28/10/2024,Melaka,14
29/10/2024,Melaka,32
30/10/2024,Melaka,23
31/10/2024,Melaka,6
1/11/2024,Melaka,32
2/11/2024,Melaka,21
3/11/2024,Melaka,6
4/11/2024,Melaka,28
5/11/2024,Melaka,22
6/11/2024,Melaka,39
7/11/2024,Melaka,25
8/11/2024,Melaka,41
9/11/2024,Melaka,21
10/11/2024,Melaka,13
11/11/2024,Melaka,34
12/11/2024,Melaka,34
13/11/2024,Melaka,14
14/11/2024,Melaka,20
15/11/2024,Melaka,47
16/11/2024,Melaka,9
17/11/2024,Melaka,1
18/11/2024,Melaka,20
19/11/2024,Melaka,28
20/11/2024,Melaka,46
21/11/2024,Melaka,31
22/11/2024,Melaka,18
23/11/2024,Melaka,28
24/11/2024,Melaka,18
25/11/2024,Melaka,19
26/11/2024,Melaka,46
27/11/2024,Melaka,70
28/11/2024,Melaka,26
29/11/2024,Melaka,17
30/11/2024,Melaka,28
1/12/2024,Melaka,22
2/12/2024,Melaka,73
3/12/2024,Melaka,28
4/12/2024,Melaka,59
5/12/2024,Melaka,43
6/12/2024,Melaka,19
7/12/2024,Melaka,5
8/12/2024,Melaka,1
9/12/2024,Melaka,23
10/12/2024,Melaka,46
11/12/2024,Melaka,22
12/12/2024,Melaka,57
13/12/2024,Melaka,49
14/12/2024,Melaka,22
15/12/2024,Melaka,0
16/12/2024,Melaka,33
17/12/2024,Melaka,61
18/12/2024,Melaka,64
19/12/2024,Melaka,46
20/12/2024,Melaka,32
21/12/2024,Melaka,28
22/12/2024,Melaka,20
23/12/2024,Melaka,17
24/12/2024,Melaka,46
25/12/2024,Melaka,3
26/12/2024,Melaka,39
27/12/2024,Melaka,38
28/12/2024,Melaka,11
29/12/2024,Melaka,4
30/12/2024,Melaka,31
31/12/2024,Melaka,33
1/1/2025,Melaka,1
2/1/2025,Melaka,11
3/1/2025,Melaka,22
4/1/2025,Melaka,3
5/1/2025,Melaka,7
6/1/2025,Melaka,10
7/1/2025,Melaka,12
8/1/2025,Melaka,38
9/1/2025,Melaka,19
10/1/2025,Melaka,15
11/1/2025,Melaka,2
12/1/2025,Melaka,3
13/1/2025,Melaka,14
14/1/2025,Melaka,15
15/1/2025,Melaka,13
16/1/2025,Melaka,27
17/1/2025,Melaka,23
18/1/2025,Melaka,28
19/1/2025,Melaka,4
20/1/2025,Melaka,10
21/1/2025,Melaka,17
22/1/2025,Melaka,42
23/1/2025,Melaka,14
24/1/2025,Melaka,14
25/1/2025,Melaka,5
26/1/2025,Melaka,3
27/1/2025,Melaka,38
28/1/2025,Melaka,10
29/1/2025,Melaka,0
30/1/2025,Melaka,1
31/1/2025,Melaka,17
1/2/2025,Melaka,6
2/2/2025,Melaka,29
3/2/2025,Melaka,13
4/2/2025,Melaka,19
5/2/2025,Melaka,7
6/2/2025,Melaka,9
7/2/2025,Melaka,27
8/2/2025,Melaka,10
9/2/2025,Melaka,6
10/2/2025,Melaka,23
11/2/2025,Melaka,17
12/2/2025,Melaka,38
13/2/2025,Melaka,11
14/2/2025,Melaka,32
15/2/2025,Melaka,11
16/2/2025,Melaka,2
17/2/2025,Melaka,17
18/2/2025,Melaka,19
19/2/2025,Melaka,31
20/2/2025,Melaka,44
21/2/2025,Melaka,44
22/2/2025,Melaka,17
23/2/2025,Melaka,6
24/2/2025,Melaka,68
25/2/2025,Melaka,54
26/2/2025,Melaka,16
27/2/2025,Melaka,18
28/2/2025,Melaka,12
1/3/2025,Melaka,6
2/3/2025,Melaka,1
3/3/2025,Melaka,14
4/3/2025,Melaka,13
5/3/2025,Melaka,46
6/3/2025,Melaka,31
7/3/2025,Melaka,33
8/3/2025,Melaka,2
9/3/2025,Melaka,4
10/3/2025,Melaka,18
11/3/2025,Melaka,34
12/3/2025,Melaka,11
13/3/2025,Melaka,44
14/3/2025,Melaka,16
15/3/2025,Melaka,3
16/3/2025,Melaka,2
17/3/2025,Melaka,46
18/3/2025,Melaka,11
19/3/2025,Melaka,37
20/3/2025,Melaka,17
21/3/2025,Melaka,35
22/3/2025,Melaka,7
23/3/2025,Melaka,4
24/3/2025,Melaka,27
25/3/2025,Melaka,14
26/3/2025,Melaka,17
27/3/2025,Melaka,14
28/3/2025,Melaka,15
29/3/2025,Melaka,4
30/3/2025,Melaka,5
31/3/2025,Melaka,0
1/4/2025,Melaka,0
2/4/2025,Melaka,0
3/4/2025,Melaka,8
4/4/2025,Melaka,7
5/4/2025,Melaka,3
6/4/2025,Melaka,4
7/4/2025,Melaka,7
8/4/2025,Melaka,17
9/4/2025,Melaka,9
10/4/2025,Melaka,9
11/4/2025,Melaka,23
12/4/2025,Melaka,5
13/4/2025,Melaka,1
14/4/2025,Melaka,15
15/4/2025,Melaka,21
16/4/2025,Melaka,44
17/4/2025,Melaka,14
18/4/2025,Melaka,13
19/4/2025,Melaka,18
20/4/2025,Melaka,0
21/4/2025,Melaka,21
22/4/2025,Melaka,12
23/4/2025,Melaka,21
24/4/2025,Melaka,30
25/4/2025,Melaka,23
26/4/2025,Melaka,47
27/4/2025,Melaka,10
28/4/2025,Melaka,29
29/4/2025,Melaka,55
30/4/2025,Melaka,27
1/5/2025,Melaka,2
2/5/2025,Melaka,24
3/5/2025,Melaka,22
4/5/2025,Melaka,4
5/5/2025,Melaka,12
6/5/2025,Melaka,37
7/5/2025,Melaka,14
8/5/2025,Melaka,14
9/5/2025,Melaka,21
10/5/2025,Melaka,11
11/5/2025,Melaka,2
12/5/2025,Melaka,5
13/5/2025,Melaka,12
14/5/2025,Melaka,19
15/5/2025,Melaka,52
16/5/2025,Melaka,64
17/5/2025,Melaka,8
18/5/2025,Melaka,0
19/5/2025,Melaka,17
20/5/2025,Melaka,32
21/5/2025,Melaka,12
22/5/2025,Melaka,34
23/5/2025,Melaka,19
24/5/2025,Melaka,3
25/5/2025,Melaka,6
26/5/2025,Melaka,28
27/5/2025,Melaka,40
28/5/2025,Melaka,36
29/5/2025,Melaka,12
30/5/2025,Melaka,31
31/5/2025,Melaka,2
1/6/2025,Melaka,9
2/6/2025,Melaka,0
3/6/2025,Melaka,0
15/4/2019,Negeri Sembilan,14
16/4/2019,Negeri Sembilan,17
17/4/2019,Negeri Sembilan,10
18/4/2019,Negeri Sembilan,8
19/4/2019,Negeri Sembilan,4
20/4/2019,Negeri Sembilan,2
21/4/2019,Negeri Sembilan,0
22/4/2019,Negeri Sembilan,10
23/4/2019,Negeri Sembilan,10
24/4/2019,Negeri Sembilan,16
25/4/2019,Negeri Sembilan,2
26/4/2019,Negeri Sembilan,9
27/4/2019,Negeri Sembilan,8
28/4/2019,Negeri Sembilan,0
29/4/2019,Negeri Sembilan,15
30/4/2019,Negeri Sembilan,12
1/5/2019,Negeri Sembilan,4
2/5/2019,Negeri Sembilan,21
3/5/2019,Negeri Sembilan,7
4/5/2019,Negeri Sembilan,4
5/5/2019,Negeri Sembilan,2
6/5/2019,Negeri Sembilan,7
7/5/2019,Negeri Sembilan,4
8/5/2019,Negeri Sembilan,8
9/5/2019,Negeri Sembilan,11
10/5/2019,Negeri Sembilan,7
11/5/2019,Negeri Sembilan,5
12/5/2019,Negeri Sembilan,4
13/5/2019,Negeri Sembilan,11
14/5/2019,Negeri Sembilan,12
15/5/2019,Negeri Sembilan,12
16/5/2019,Negeri Sembilan,6
17/5/2019,Negeri Sembilan,12
18/5/2019,Negeri Sembilan,3
19/5/2019,Negeri Sembilan,0
20/5/2019,Negeri Sembilan,10
21/5/2019,Negeri Sembilan,10
22/5/2019,Negeri Sembilan,6
23/5/2019,Negeri Sembilan,4
24/5/2019,Negeri Sembilan,15
25/5/2019,Negeri Sembilan,3
26/5/2019,Negeri Sembilan,1
27/5/2019,Negeri Sembilan,13
28/5/2019,Negeri Sembilan,15
29/5/2019,Negeri Sembilan,16
30/5/2019,Negeri Sembilan,14
31/5/2019,Negeri Sembilan,11
1/6/2019,Negeri Sembilan,8
2/6/2019,Negeri Sembilan,0
3/6/2019,Negeri Sembilan,7
4/6/2019,Negeri Sembilan,6
5/6/2019,Negeri Sembilan,0
6/6/2019,Negeri Sembilan,0
7/6/2019,Negeri Sembilan,4
8/6/2019,Negeri Sembilan,1
9/6/2019,Negeri Sembilan,0
10/6/2019,Negeri Sembilan,4
11/6/2019,Negeri Sembilan,6
12/6/2019,Negeri Sembilan,17
13/6/2019,Negeri Sembilan,9
14/6/2019,Negeri Sembilan,22
15/6/2019,Negeri Sembilan,11
16/6/2019,Negeri Sembilan,0
17/6/2019,Negeri Sembilan,15
18/6/2019,Negeri Sembilan,22
19/6/2019,Negeri Sembilan,12
20/6/2019,Negeri Sembilan,13
21/6/2019,Negeri Sembilan,11
22/6/2019,Negeri Sembilan,10
23/6/2019,Negeri Sembilan,0
24/6/2019,Negeri Sembilan,21
25/6/2019,Negeri Sembilan,20
26/6/2019,Negeri Sembilan,12
27/6/2019,Negeri Sembilan,5
28/6/2019,Negeri Sembilan,1
29/6/2019,Negeri Sembilan,2
30/6/2019,Negeri Sembilan,2
1/7/2019,Negeri Sembilan,1
2/7/2019,Negeri Sembilan,11
3/7/2019,Negeri Sembilan,7
4/7/2019,Negeri Sembilan,9
5/7/2019,Negeri Sembilan,12
6/7/2019,Negeri Sembilan,6
7/7/2019,Negeri Sembilan,2
8/7/2019,Negeri Sembilan,13
9/7/2019,Negeri Sembilan,22
10/7/2019,Negeri Sembilan,12
11/7/2019,Negeri Sembilan,9
12/7/2019,Negeri Sembilan,14
13/7/2019,Negeri Sembilan,14
14/7/2019,Negeri Sembilan,28
15/7/2019,Negeri Sembilan,13
16/7/2019,Negeri Sembilan,23
17/7/2019,Negeri Sembilan,10
18/7/2019,Negeri Sembilan,12
19/7/2019,Negeri Sembilan,7
20/7/2019,Negeri Sembilan,14
21/7/2019,Negeri Sembilan,43
22/7/2019,Negeri Sembilan,15
23/7/2019,Negeri Sembilan,15
24/7/2019,Negeri Sembilan,10
25/7/2019,Negeri Sembilan,8
26/7/2019,Negeri Sembilan,14
27/7/2019,Negeri Sembilan,3
28/7/2019,Negeri Sembilan,5
29/7/2019,Negeri Sembilan,4
30/7/2019,Negeri Sembilan,2
31/7/2019,Negeri Sembilan,2
1/8/2019,Negeri Sembilan,12
2/8/2019,Negeri Sembilan,1
3/8/2019,Negeri Sembilan,2
4/8/2019,Negeri Sembilan,0
5/8/2019,Negeri Sembilan,51
6/8/2019,Negeri Sembilan,30
7/8/2019,Negeri Sembilan,15
8/8/2019,Negeri Sembilan,16
9/8/2019,Negeri Sembilan,10
10/8/2019,Negeri Sembilan,4
11/8/2019,Negeri Sembilan,0
12/8/2019,Negeri Sembilan,0
13/8/2019,Negeri Sembilan,17
14/8/2019,Negeri Sembilan,10
15/8/2019,Negeri Sembilan,12
16/8/2019,Negeri Sembilan,5
17/8/2019,Negeri Sembilan,7
18/8/2019,Negeri Sembilan,0
19/8/2019,Negeri Sembilan,17
20/8/2019,Negeri Sembilan,35
21/8/2019,Negeri Sembilan,53
22/8/2019,Negeri Sembilan,94
23/8/2019,Negeri Sembilan,129
24/8/2019,Negeri Sembilan,18
25/8/2019,Negeri Sembilan,0
26/8/2019,Negeri Sembilan,22
27/8/2019,Negeri Sembilan,22
28/8/2019,Negeri Sembilan,9
29/8/2019,Negeri Sembilan,13
30/8/2019,Negeri Sembilan,27
31/8/2019,Negeri Sembilan,0
1/9/2019,Negeri Sembilan,1
2/9/2019,Negeri Sembilan,2
3/9/2019,Negeri Sembilan,18
4/9/2019,Negeri Sembilan,10
5/9/2019,Negeri Sembilan,8
6/9/2019,Negeri Sembilan,4
7/9/2019,Negeri Sembilan,16
8/9/2019,Negeri Sembilan,17
9/9/2019,Negeri Sembilan,73
10/9/2019,Negeri Sembilan,19
11/9/2019,Negeri Sembilan,99
12/9/2019,Negeri Sembilan,111
13/9/2019,Negeri Sembilan,183
14/9/2019,Negeri Sembilan,313
15/9/2019,Negeri Sembilan,9
16/9/2019,Negeri Sembilan,31
17/9/2019,Negeri Sembilan,123
18/9/2019,Negeri Sembilan,26
19/9/2019,Negeri Sembilan,19
20/9/2019,Negeri Sembilan,20
21/9/2019,Negeri Sembilan,8
22/9/2019,Negeri Sembilan,7
23/9/2019,Negeri Sembilan,56
24/9/2019,Negeri Sembilan,18
25/9/2019,Negeri Sembilan,50
26/9/2019,Negeri Sembilan,6
27/9/2019,Negeri Sembilan,14
28/9/2019,Negeri Sembilan,8
29/9/2019,Negeri Sembilan,3
30/9/2019,Negeri Sembilan,22
1/10/2019,Negeri Sembilan,25
2/10/2019,Negeri Sembilan,23
3/10/2019,Negeri Sembilan,17
4/10/2019,Negeri Sembilan,9
5/10/2019,Negeri Sembilan,8
6/10/2019,Negeri Sembilan,2
7/10/2019,Negeri Sembilan,45
8/10/2019,Negeri Sembilan,23
9/10/2019,Negeri Sembilan,17
10/10/2019,Negeri Sembilan,34
11/10/2019,Negeri Sembilan,26
12/10/2019,Negeri Sembilan,27
13/10/2019,Negeri Sembilan,13
14/10/2019,Negeri Sembilan,70
15/10/2019,Negeri Sembilan,26
16/10/2019,Negeri Sembilan,57
17/10/2019,Negeri Sembilan,49
18/10/2019,Negeri Sembilan,36
19/10/2019,Negeri Sembilan,6
20/10/2019,Negeri Sembilan,0
21/10/2019,Negeri Sembilan,55
22/10/2019,Negeri Sembilan,71
23/10/2019,Negeri Sembilan,61
24/10/2019,Negeri Sembilan,112
25/10/2019,Negeri Sembilan,74
26/10/2019,Negeri Sembilan,58
27/10/2019,Negeri Sembilan,26
28/10/2019,Negeri Sembilan,2
29/10/2019,Negeri Sembilan,166
30/10/2019,Negeri Sembilan,141
31/10/2019,Negeri Sembilan,171
1/11/2019,Negeri Sembilan,22
2/11/2019,Negeri Sembilan,16
3/11/2019,Negeri Sembilan,0
4/11/2019,Negeri Sembilan,32
5/11/2019,Negeri Sembilan,36
6/11/2019,Negeri Sembilan,52
7/11/2019,Negeri Sembilan,88
8/11/2019,Negeri Sembilan,38
9/11/2019,Negeri Sembilan,11
10/11/2019,Negeri Sembilan,1
11/11/2019,Negeri Sembilan,39
12/11/2019,Negeri Sembilan,35
13/11/2019,Negeri Sembilan,261
14/11/2019,Negeri Sembilan,322
15/11/2019,Negeri Sembilan,153
16/11/2019,Negeri Sembilan,81
17/11/2019,Negeri Sembilan,0
18/11/2019,Negeri Sembilan,86
19/11/2019,Negeri Sembilan,63
20/11/2019,Negeri Sembilan,105
21/11/2019,Negeri Sembilan,60
22/11/2019,Negeri Sembilan,57
23/11/2019,Negeri Sembilan,6
24/11/2019,Negeri Sembilan,0
25/11/2019,Negeri Sembilan,68
26/11/2019,Negeri Sembilan,78
27/11/2019,Negeri Sembilan,33
28/11/2019,Negeri Sembilan,33
29/11/2019,Negeri Sembilan,10
30/11/2019,Negeri Sembilan,12
1/12/2019,Negeri Sembilan,24
2/12/2019,Negeri Sembilan,91
3/12/2019,Negeri Sembilan,66
4/12/2019,Negeri Sembilan,45
5/12/2019,Negeri Sembilan,40
6/12/2019,Negeri Sembilan,28
7/12/2019,Negeri Sembilan,95
8/12/2019,Negeri Sembilan,0
9/12/2019,Negeri Sembilan,50
10/12/2019,Negeri Sembilan,63
11/12/2019,Negeri Sembilan,213
12/12/2019,Negeri Sembilan,53
13/12/2019,Negeri Sembilan,47
14/12/2019,Negeri Sembilan,7
15/12/2019,Negeri Sembilan,7
16/12/2019,Negeri Sembilan,43
17/12/2019,Negeri Sembilan,400
18/12/2019,Negeri Sembilan,84
19/12/2019,Negeri Sembilan,50
20/12/2019,Negeri Sembilan,80
21/12/2019,Negeri Sembilan,5
22/12/2019,Negeri Sembilan,2
23/12/2019,Negeri Sembilan,53
24/12/2019,Negeri Sembilan,64
25/12/2019,Negeri Sembilan,42
26/12/2019,Negeri Sembilan,85
27/12/2019,Negeri Sembilan,117
28/12/2019,Negeri Sembilan,9
29/12/2019,Negeri Sembilan,0
30/12/2019,Negeri Sembilan,38
31/12/2019,Negeri Sembilan,33
1/1/2020,Negeri Sembilan,8
2/1/2020,Negeri Sembilan,53
3/1/2020,Negeri Sembilan,29
4/1/2020,Negeri Sembilan,13
5/1/2020,Negeri Sembilan,1
6/1/2020,Negeri Sembilan,75
7/1/2020,Negeri Sembilan,77
8/1/2020,Negeri Sembilan,55
9/1/2020,Negeri Sembilan,62
10/1/2020,Negeri Sembilan,48
11/1/2020,Negeri Sembilan,13
12/1/2020,Negeri Sembilan,4
13/1/2020,Negeri Sembilan,27
14/1/2020,Negeri Sembilan,71
15/1/2020,Negeri Sembilan,54
16/1/2020,Negeri Sembilan,48
17/1/2020,Negeri Sembilan,16
18/1/2020,Negeri Sembilan,61
19/1/2020,Negeri Sembilan,1
20/1/2020,Negeri Sembilan,125
21/1/2020,Negeri Sembilan,50
22/1/2020,Negeri Sembilan,41
23/1/2020,Negeri Sembilan,29
24/1/2020,Negeri Sembilan,35
25/1/2020,Negeri Sembilan,0
26/1/2020,Negeri Sembilan,3
27/1/2020,Negeri Sembilan,2
28/1/2020,Negeri Sembilan,34
29/1/2020,Negeri Sembilan,52
30/1/2020,Negeri Sembilan,51
31/1/2020,Negeri Sembilan,18
1/2/2020,Negeri Sembilan,0
2/2/2020,Negeri Sembilan,3
3/2/2020,Negeri Sembilan,55
